ID,Algoritmo,FuncaoCusto,Heuristica,CustoTotal,Visitados,Gerados,TamanhoCaminho
17,CustoUniforme,C1,-,40,37866,54863,20
17,CustoUniforme,C2,-,48,36767,52771,20
17,CustoUniforme,C3,-,50,45570,63504,20
17,CustoUniforme,C4,-,59,48366,65990,20
17,A*,C1,H1,40,4201,6655,20
17,A*,C1,H2,40,519,841,20
17,A*,C2,H1,48,4611,7138,20
17,A*,C2,H2,48,727,1147,20
17,A*,C3,H1,50,6466,10016,20
17,A*,C3,H2,50,1014,1593,20
17,A*,C4,H1,59,8991,13841,20
17,A*,C4,H2,59,1877,2954,20
18,CustoUniforme,C1,-,32,10617,15977,16
18,CustoUniforme,C2,-,40,10123,15166,16
18,CustoUniforme,C3,-,40,9213,14419,16
18,CustoUniforme,C4,-,51,17264,25953,16
18,A*,C1,H1,32,690,1122,16
18,A*,C1,H2,32,115,184,16
18,A*,C2,H1,40,1077,1715,16
18,A*,C2,H2,40,228,362,16
18,A*,C3,H1,40,1063,1695,16
18,A*,C3,H2,40,229,365,16
18,A*,C4,H1,51,2706,4305,16
18,A*,C4,H2,51,650,1024,16
19,CustoUniforme,C1,-,34,16437,24574,17
19,CustoUniforme,C2,-,43,19210,27774,17
19,CustoUniforme,C3,-,42,14082,21791,17
19,CustoUniforme,C4,-,51,18506,27105,17
19,A*,C1,H1,34,1236,2015,17
19,A*,C1,H2,34,249,412,17
19,A*,C2,H1,43,2193,3461,17
19,A*,C2,H2,43,533,844,17
19,A*,C3,H1,42,1748,2800,17
19,A*,C3,H2,42,386,616,17
19,A*,C4,H1,51,2937,4659,17
19,A*,C4,H2,51,783,1257,17
20,CustoUniforme,C1,-,34,17936,26301,17
20,CustoUniforme,C2,-,41,12721,20180,17
20,CustoUniforme,C3,-,44,20472,29468,17
20,CustoUniforme,C4,-,52,19455,28345,17
20,A*,C1,H1,34,1255,2028,17
20,A*,C1,H2,34,169,283,17
20,A*,C2,H1,41,1371,2292,17
20,A*,C2,H2,41,236,399,17
20,A*,C3,H1,44,2494,4132,17
20,A*,C3,H2,44,456,744,17
20,A*,C4,H1,52,3165,5028,17
20,A*,C4,H2,52,715,1156,17
21,CustoUniforme,C1,-,30,6061,9618,15
21,CustoUniforme,C2,-,37,6053,9645,15
21,CustoUniforme,C3,-,38,6119,9768,15
